Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Poland,POL,96.2198417670529,95.9808999446962,95.8700304377141,96.2477586646671,95.9922094677164,96.0067293143245,95.834292339468,95.2276436167446,94.1266461400808,93.1591641142566,92.451207569259,92.1183798905688,90.9785187086931,91.145501727737,89.837701034637,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Portugal,PRT,84.0361685337448,83.3853754008383,85.2567327492204,81.7734636585717,82.7560909971743,84.1221274218628,80.8164495069197,79.2409673263377,78.6369390725392,78.088153732586,75.1272715636337,75.6590375736355,75.1134287486659,73.6923167406019,74.2587381488152,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Romania,ROM,84.8166027159963,86.5352964008196,86.7447472126657,86.8626792858195,84.4800892610131,83.8666846203507,85.0588612884279,83.179481360426,79.8431627738385,76.5949357642075,75.070951491373,77.6518382039965,76.4272009246288,73.4295361610316,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Slovak Republic,SVK,72.5158524953125,73.0781842934813,72.4412542108082,72.1810399144335,72.216145118193,72.1077908359414,70.8919626902223,70.9291378680345,70.3379735039533,70.0284387242571,70.2377733867821,68.5113631680676,66.8328684868671,66.9235742584742,62.790594104944,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Slovenia,SVN,70.1382135081145,70.3938071478691,69.8624661685046,69.7464407862481,69.2959299153542,68.5714199530726,69.4715759029775,69.2377934879934,69.4391906046828,67.9377430358101,67.4106722931773,65.3428486233426,65.3901912859373,64.3098857449367,59.5930248930983,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Spain,ESP,80.6349426879774,79.8499960208187,81.4607128746587,80.8230230186446,81.8320256341566,83.4668123985147,82.5095887666763,83.1862164777901,81.8083158189895,79.7102129168535,76.00086331065,76.5000886869636,75.0081563640562,72.7921958551526,72.2391265359029,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Sweden,SWE,34.8291833726584,33.9878881209022,37.4462496216707,36.5218103202111,34.8320103545523,33.8115091740615,33.4125841867698,32.4524719515326,33.1126400594178,31.9839953356471,34.4232514038991,34.2141870452598,30.9991557787887,29.8114932231092,30.7543666017151,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,United Kingdom,GBR,88.410363733096,87.8290691737866,87.7237002687167,87.9800587732831,88.560907184021,88.0765913454462,88.5499403945891,89.5743535912373,90.1004695145823,87.2851435085258,88.3407153278657,85.6985625507848,85.2586974411355,84.0356106380179,82.7891658955891,..,..
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,,,,,
