"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","1",""
"2008","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","2",""
"2009","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","3",""
"2010","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","5",""
"2011","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","10",""
"2012","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","20",""
"2013","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","45",""
"2014","Cyprus","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","64",""
"2005","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2010","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2011","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2012","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2013","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2014","Latvia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2005","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2010","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2011","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2012","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","2",""
"2013","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","45",""
"2014","Lithuania","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","73",""
"2005","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2010","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2011","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2012","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2013","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2014","Luxembourg","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2005","Hungary","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2006","Hungary","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2007","Hungary","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2008","Hungary","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
"2009","Hungary","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Solar Photovoltaic","0",""
