"TIME","GEO","INTRT","Value","Flag and Footnotes"
"2010M03","Belgium","EMU convergence criterion bond yields","3.63",""
"2010M04","Belgium","EMU convergence criterion bond yields","3.54",""
"2010M05","Belgium","EMU convergence criterion bond yields","3.31",""
"2010M06","Belgium","EMU convergence criterion bond yields","3.47",""
"2010M07","Belgium","EMU convergence criterion bond yields","3.29",""
"2010M08","Belgium","EMU convergence criterion bond yields","3.03",""
"2010M09","Belgium","EMU convergence criterion bond yields","3.12",""
"2010M10","Belgium","EMU convergence criterion bond yields","3.21",""
"2010M11","Belgium","EMU convergence criterion bond yields","3.48",""
"2010M12","Belgium","EMU convergence criterion bond yields","3.99",""
"2011M01","Belgium","EMU convergence criterion bond yields","4.14",""
"2011M02","Belgium","EMU convergence criterion bond yields","4.21",""
"2011M03","Belgium","EMU convergence criterion bond yields","4.21",""
"2011M04","Belgium","EMU convergence criterion bond yields","4.29",""
"2011M05","Belgium","EMU convergence criterion bond yields","4.21",""
"2011M06","Belgium","EMU convergence criterion bond yields","4.14",""
"2011M07","Belgium","EMU convergence criterion bond yields","4.22",""
"2011M08","Belgium","EMU convergence criterion bond yields","4.11",""
"2011M09","Belgium","EMU convergence criterion bond yields","3.88",""
"2011M10","Belgium","EMU convergence criterion bond yields","4.20",""
"2011M11","Belgium","EMU convergence criterion bond yields","4.84",""
"2011M12","Belgium","EMU convergence criterion bond yields","4.35",""
"2012M01","Belgium","EMU convergence criterion bond yields","4.11",""
"2012M02","Belgium","EMU convergence criterion bond yields","3.70",""
"2012M03","Belgium","EMU convergence criterion bond yields","3.53",""
"2012M04","Belgium","EMU convergence criterion bond yields","3.52",""
"2012M05","Belgium","EMU convergence criterion bond yields","3.30",""
"2012M06","Belgium","EMU convergence criterion bond yields","3.17",""
"2012M07","Belgium","EMU convergence criterion bond yields","2.69",""
"2012M08","Belgium","EMU convergence criterion bond yields","2.54",""
"2012M09","Belgium","EMU convergence criterion bond yields","2.61",""
"2012M10","Belgium","EMU convergence criterion bond yields","2.44",""
"2012M11","Belgium","EMU convergence criterion bond yields","2.29",""
"2012M12","Belgium","EMU convergence criterion bond yields","2.10",""
"2013M01","Belgium","EMU convergence criterion bond yields","2.31",""
"2013M02","Belgium","EMU convergence criterion bond yields","2.46",""
"2013M03","Belgium","EMU convergence criterion bond yields","2.25",""
"2013M04","Belgium","EMU convergence criterion bond yields","2.04",""
"2013M05","Belgium","EMU convergence criterion bond yields","2.06",""
"2013M06","Belgium","EMU convergence criterion bond yields","2.44",""
"2013M07","Belgium","EMU convergence criterion bond yields","2.54",""
"2013M08","Belgium","EMU convergence criterion bond yields","2.65",""
"2013M09","Belgium","EMU convergence criterion bond yields","2.75",""
"2013M10","Belgium","EMU convergence criterion bond yields","2.57",""
"2013M11","Belgium","EMU convergence criterion bond yields","2.42",""
