Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Germany,DEU,59.823394858565,61.1764619380255,59.4650470596983,60.009796799881,58.4642761986951,60.0031952157986,59.3180354206233,60.6650813779702,60.5645102225714,60.6954585991601,62.1041138169298,60.8852102578916,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Greece,GRC,63.1324061969404,64.4166893957297,65.8988529791544,66.6908614855497,66.3386338365111,67.5775320493243,65.7614445955122,65.8091331843183,64.0107462243342,60.7473633288597,60.1999623518834,62.6161474751939,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Hungary,HUN,53.5250215118156,55.8482699435184,62.3606899549607,62.1767133802938,61.746331994806,60.3414284481491,55.7352483306324,56.993042088926,56.8358039001396,55.0424135428007,54.7573525699448,55.0599208807122,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Ireland,IRL,84.3605375610743,87.6382175620607,88.7021982314333,88.7682772013706,90.6781974379051,89.5285717377015,89.791735997114,87.2203249813503,87.2984036372327,90.224870293131,82.6252482760416,84.9175367319509,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Italy,ITA,83.5770384679968,84.4046422260951,84.8982968815578,84.9448162560084,85.363460129943,84.7442105999799,83.8092192640263,82.651725000059,81.3470636439199,78.3338797620813,76.3388121046007,75.3842632771691,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Latvia,LVA,63.2300089905879,62.9625305670154,58.9085966235398,60.6237837134634,62.4354528356135,60.98736391879,52.3631945882892,56.1411465349166,51.2518465129566,47.0909471372822,50.6798659758207,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Lithuania,LTU,52.5218130054975,47.8357034329313,54.266883533038,58.3451494392794,58.175861424791,57.6938602727101,49.8884630262063,78.4405031813799,78.9987473425003,78.9151079979308,76.4981837740342,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Luxembourg,LUX,98.1000798948111,97.9563517057687,97.4673310096681,97.2693376351102,97.0500371728322,96.9828921805317,97.1429423179484,97.1234041343902,97.2229093515332,96.9149837583227,96.4818372006958,96.6145295974356,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Malta,MLT,100,100,99.9403964487637,99.9225863132602,99.9101608326312,99.8915820061991,99.880399985612,99.4374606477711,99.291733961925,99.0150491959901,98.7317244544059,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Netherlands,NLD,21.3791241864297,18.7193371929858,20.6102444552545,20.4768379195173,22.7934143835265,16.2706100677865,19.3367997423315,16.3149384313268,16.8797537356274,17.6085252014966,10.3303962096601,19.3669663802881,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Portugal,PRT,84.361729413483,83.4683225534454,86.3402366170609,82.6382161926017,81.6821737123646,81.877015152492,79.7749452517087,75.3150251785674,75.7923433835103,77.6061649319012,73.5297268054758,73.3350766246208,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Poland,POL,10.7405688610883,10.575707205982,14.9676313077349,20.1059803243569,25.0482425273924,27.3487580873485,28.6034913364857,33.210916163462,32.5044494593115,26.9765492114964,27.324669517101,27.4088112892431,..
