"TIME","GEO","UNIT","INDIC_EN","Value"
"2006","Lithuania","Percentage","Share of renewable energy in heating and cooling","29.7"
"2006","Luxembourg","Percentage","Share of renewable energy in gross final energy consumption","1.5"
"2006","Luxembourg","Percentage","Share of renewable energy in transport","0.1"
"2006","Luxembourg","Percentage","Share of renewable energy in electricity","3.2"
"2006","Luxembourg","Percentage","Share of renewable energy in heating and cooling","3.6"
"2006","Hungary","Percentage","Share of renewable energy in gross final energy consumption","5.1"
"2006","Hungary","Percentage","Share of renewable energy in transport","0.6"
"2006","Hungary","Percentage","Share of renewable energy in electricity","3.5"
"2006","Hungary","Percentage","Share of renewable energy in heating and cooling","7.5"
"2006","Malta","Percentage","Share of renewable energy in gross final energy consumption","0.2"
"2006","Malta","Percentage","Share of renewable energy in transport","0.0"
"2006","Malta","Percentage","Share of renewable energy in electricity","0.0"
"2006","Malta","Percentage","Share of renewable energy in heating and cooling","2.6"
"2006","Netherlands","Percentage","Share of renewable energy in gross final energy consumption","2.8"
"2006","Netherlands","Percentage","Share of renewable energy in transport","0.5"
"2006","Netherlands","Percentage","Share of renewable energy in electricity","6.5"
"2006","Netherlands","Percentage","Share of renewable energy in heating and cooling","2.8"
"2006","Austria","Percentage","Share of renewable energy in gross final energy consumption","25.3"
"2006","Austria","Percentage","Share of renewable energy in transport","5.5"
"2006","Austria","Percentage","Share of renewable energy in electricity","62.4"
"2006","Austria","Percentage","Share of renewable energy in heating and cooling","22.9"
"2006","Poland","Percentage","Share of renewable energy in gross final energy consumption","6.9"
"2006","Poland","Percentage","Share of renewable energy in transport","1.2"
"2006","Poland","Percentage","Share of renewable energy in electricity","3.0"
"2006","Poland","Percentage","Share of renewable energy in heating and cooling","10.2"
"2006","Portugal","Percentage","Share of renewable energy in gross final energy consumption","20.8"
"2006","Portugal","Percentage","Share of renewable energy in transport","1.3"
"2006","Portugal","Percentage","Share of renewable energy in electricity","29.3"
"2006","Portugal","Percentage","Share of renewable energy in heating and cooling","34.2"
"2006","Romania","Percentage","Share of renewable energy in gross final energy consumption","17.1"
"2006","Romania","Percentage","Share of renewable energy in transport","0.8"
"2006","Romania","Percentage","Share of renewable energy in electricity","28.1"
"2006","Romania","Percentage","Share of renewable energy in heating and cooling","17.6"
"2006","Slovenia","Percentage","Share of renewable energy in gross final energy consumption","15.6"
"2006","Slovenia","Percentage","Share of renewable energy in transport","0.6"
"2006","Slovenia","Percentage","Share of renewable energy in electricity","28.2"
"2006","Slovenia","Percentage","Share of renewable energy in heating and cooling","18.6"
"2006","Slovakia","Percentage","Share of renewable energy in gross final energy consumption","6.6"
"2006","Slovakia","Percentage","Share of renewable energy in transport","2.9"
"2006","Slovakia","Percentage","Share of renewable energy in electricity","16.6"
"2006","Slovakia","Percentage","Share of renewable energy in heating and cooling","4.5"
"2006","Finland","Percentage","Share of renewable energy in gross final energy consumption","30.0"
"2006","Finland","Percentage","Share of renewable energy in transport","0.4"
"2006","Finland","Percentage","Share of renewable energy in electricity","26.4"
"2006","Finland","Percentage","Share of renewable energy in heating and cooling","41.4"
"2006","Sweden","Percentage","Share of renewable energy in gross final energy consumption","42.7"
"2006","Sweden","Percentage","Share of renewable energy in transport","4.7"
"2006","Sweden","Percentage","Share of renewable energy in electricity","51.8"
"2006","Sweden","Percentage","Share of renewable energy in heating and cooling","56.4"
"2006","United Kingdom","Percentage","Share of renewable energy in gross final energy consumption","1.6"
"2006","United Kingdom","Percentage","Share of renewable energy in transport","0.6"
"2006","United Kingdom","Percentage","Share of renewable energy in electricity","4.5"
"2006","United Kingdom","Percentage","Share of renewable energy in heating and cooling","0.9"
"2006","Iceland","Percentage","Share of renewable energy in gross final energy consumption","60.8"
"2006","Iceland","Percentage","Share of renewable energy in transport","0.0"
"2006","Iceland","Percentage","Share of renewable energy in electricity","93.5"
"2006","Iceland","Percentage","Share of renewable energy in heating and cooling","56.9"
"2006","Norway","Percentage","Share of renewable energy in gross final energy consumption","60.3"
"2006","Norway","Percentage","Share of renewable energy in transport","1.3"
"2006","Norway","Percentage","Share of renewable energy in electricity","100.2"
"2006","Norway","Percentage","Share of renewable energy in heating and cooling","28.6"
"2007","European Union (28 countries)","Percentage","Share of renewable energy in gross final energy consumption","10.4"
"2007","European Union (28 countries)","Percentage","Share of renewable energy in transport","2.8"
"2007","European Union (28 countries)","Percentage","Share of renewable energy in electricity","16.1"
"2007","European Union (28 countries)","Percentage","Share of renewable energy in heating and cooling","12.8"
"2007","Belgium","Percentage","Share of renewable energy in gross final energy consumption","3.4"
"2007","Belgium","Percentage","Share of renewable energy in transport","1.3"
"2007","Belgium","Percentage","Share of renewable energy in electricity","3.6"
"2007","Belgium","Percentage","Share of renewable energy in heating and cooling","4.5"
"2007","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","9.2"
"2007","Bulgaria","Percentage","Share of renewable energy in transport","0.4"
"2007","Bulgaria","Percentage","Share of renewable energy in electricity","9.4"
"2007","Bulgaria","Percentage","Share of renewable energy in heating and cooling","13.9"
"2007","Czech Republic","Percentage","Share of renewable energy in gross final energy consumption","7.4"
