"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2006","Estonia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","558.0",""
"2006","Estonia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,490",""
"2006","Estonia","Terajoule","Electrical energy","Energy Available for Final Consumption","23,364",""
"2006","Ireland","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","2,155.4",""
"2006","Ireland","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","25,067",""
"2006","Ireland","Terajoule","Electrical energy","Energy Available for Final Consumption","90,241",""
"2006","Greece","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","4,509.4",""
"2006","Greece","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","52,444",""
"2006","Greece","Terajoule","Electrical energy","Energy Available for Final Consumption","188,800",""
"2006","Spain","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","21,163.0",""
"2006","Spain","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","246,126",""
"2006","Spain","Terajoule","Electrical energy","Energy Available for Final Consumption","886,053",""
"2006","France","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","36,718.9",""
"2006","France","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","427,041",""
"2006","France","Terajoule","Electrical energy","Energy Available for Final Consumption","1,537,348",""
"2006","Croatia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","1,296.6",""
"2006","Croatia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","15,079",""
"2006","Croatia","Terajoule","Electrical energy","Energy Available for Final Consumption","54,284",""
"2006","Italy","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","26,550.0",""
"2006","Italy","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","308,777",""
"2006","Italy","Terajoule","Electrical energy","Energy Available for Final Consumption","1,111,597",""
"2006","Cyprus","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","358.5",""
"2006","Cyprus","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","4,169",""
"2006","Cyprus","Terajoule","Electrical energy","Energy Available for Final Consumption","15,008",""
"2006","Latvia","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","528.2",""
"2006","Latvia","Gigawatt-hour","Electrical energy","Energy Available for Final Consumption","6,143",""
"2006","Latvia","Terajoule","Electrical energy","Energy Available for Final Consumption","22,115",""
"2006","Lithuania","Thousand TOE (tonnes of oil equivalent)","Electrical energy","Energy Available for Final Consumption","725.0",""
