TIME,GEO,INTRT,Value
2004,Malta,EMU convergence criterion bond yields,4.685
2005,Malta,EMU convergence criterion bond yields,4.555
2009,Malta,EMU convergence criterion bond yields,4.541666667
2011,Malta,EMU convergence criterion bond yields,4.489166667
2006,Malta,EMU convergence criterion bond yields,4.318333333
2010,Malta,EMU convergence criterion bond yields,4.1875
2012,Malta,EMU convergence criterion bond yields,4.125833333
2013,Malta,EMU convergence criterion bond yields,3.3625
2014,Malta,EMU convergence criterion bond yields,2.611666667
2015,Malta,EMU convergence criterion bond yields,1.4875
2000,Malta,EMU convergence criterion bond yields,
2000,Netherlands,EMU convergence criterion bond yields,5.404166667
2001,Netherlands,EMU convergence criterion bond yields,4.958333333
2002,Netherlands,EMU convergence criterion bond yields,4.890833333
2007,Netherlands,EMU convergence criterion bond yields,4.286666667
2008,Netherlands,EMU convergence criterion bond yields,4.2275
2003,Netherlands,EMU convergence criterion bond yields,4.123333333
2004,Netherlands,EMU convergence criterion bond yields,4.095
2006,Netherlands,EMU convergence criterion bond yields,3.781666667
2009,Netherlands,EMU convergence criterion bond yields,3.686666667
2005,Netherlands,EMU convergence criterion bond yields,3.374166667
2010,Netherlands,EMU convergence criterion bond yields,2.991666667
2011,Netherlands,EMU convergence criterion bond yields,2.989166667
2013,Netherlands,EMU convergence criterion bond yields,1.961666667
2012,Netherlands,EMU convergence criterion bond yields,1.933333333
2014,Netherlands,EMU convergence criterion bond yields,1.455
2015,Netherlands,EMU convergence criterion bond yields,0.690833333
2001,Poland,EMU convergence criterion bond yields,10.68166667
2002,Poland,EMU convergence criterion bond yields,7.355833333
2004,Poland,EMU convergence criterion bond yields,6.896666667
2009,Poland,EMU convergence criterion bond yields,6.12
2008,Poland,EMU convergence criterion bond yields,6.071666667
2011,Poland,EMU convergence criterion bond yields,5.955833333
2010,Poland,EMU convergence criterion bond yields,5.781666667
2003,Poland,EMU convergence criterion bond yields,5.7775
2007,Poland,EMU convergence criterion bond yields,5.484166667
2006,Poland,EMU convergence criterion bond yields,5.231666667
2005,Poland,EMU convergence criterion bond yields,5.218333333
2012,Poland,EMU convergence criterion bond yields,5
2013,Poland,EMU convergence criterion bond yields,4.033333333
2014,Poland,EMU convergence criterion bond yields,3.515833333
2015,Poland,EMU convergence criterion bond yields,2.701666667
2000,Poland,EMU convergence criterion bond yields,
2012,Portugal,EMU convergence criterion bond yields,10.5475
2011,Portugal,EMU convergence criterion bond yields,10.24083333
2013,Portugal,EMU convergence criterion bond yields,6.294166667
